"PI1";"Part and Version Identification"
"";"MeasureQualification"
"";"ModelProperty"
"";"ModelPropertyAssignment"
"";"MomentsOfInertia"
"";"NumericalContext"
"";"NumericalValue"
"";"PreDefinedTypeQualifier"
"";"PrecisionQualifier"
"";"PropertyDefinition"
"";"PropertyDefinitionAssignment"
"";"PropertyDefinitionAssignmentRelationship"
"";"PropertyDefinitionRelationship"
"";"PropertyValue"
"";"PropertyValueAssignment"
"";"PropertyValueAssignmentRelationship"
"";"PropertyValueRelationship"
"";"QualitativeUncertainty"
"";"ShapeDependentProperty"
"";"StandardUncertainty"
"";"StringValue"
"";"UncertaintyQualifier"
"";"Unit"
"";"ValueLimit"
"";"ValueList"
"";"ValueRange"
"";"ValueSet"
"";"ValueWithTolerances"
"";"ValueWithUnit"
"C2";"Material"
"";"DataEnvironment"
"";"MaterialIdentification"
"";"MaterialPropertyAssignment"
"";"MaterialPropertyDefinition"
"";"MaterialPropertyValue"
"C3";"Shape Association and Structure"
"";"PartShape"
"";"ShapeDescriptionAssociation"
"";"ShapeElement"
"";"ShapeElementRelationship"
"K1";"Kinematic Structure and Link"
"K2";"Kinematic Motion"
"";"CircularPath"
"";"KinematicPathDefinedByNodes"
"";"LinearPath"
"";"LinkMotionAlongPath"
"";"LinkMotionDecompositionRelationship"
"";"LinkMotionRelationship"
"";"LinkMotionTransformation"
"";"PathSegment"
"";"PointToPointPath"
"PP1";"Process Plan"
"";"ProcessOperationDefinition"
"";"ProcessOperationDefinitionRelationship"
"";"ProcessOperationInputOrOutput"
"";"ProcessOperationOccurrence"
"";"ProcessOperationOccurrenceRelationship"
"";"ProcessOperationResourceAssignment"
"";"ProcessPlan"
"";"ProcessPlanRelationship"
"PP2";"Mating"
"";"AssemblyJoint"
"";"MakeFromRelationship"
"";"MatedPartAssociation"
"";"MatedPartRelationship"
"";"MatingDefinition"
"";"ProcessStateRelationship"
"";"SameTimeMachiningRelationship"
"";"ToolPartRelationship"
"RR1";"Requirements"
"";"Requirement"
"";"RequirementAssignment"
"";"RequirementCollectionRelationship"
"";"RequirementDecompositionRelationship"
"";"RequirementSatisfactionAssertion"
"";"RequirementSequenceRelationship"
"";"RequirementSourceAssociation"
"";"RequirementTracingRelationship"
"";"RequirementVersion"
"";"RequirementVersionRelationship"
"";"RequirementView"
"";"RequirementViewRelationship"
"RR2";"Rule Specification and Management"
"RR3";"Planned and Evaluated Characteristics"
"";"EvaluatedCharacteristic"
"";"MeasuredCharacteristic"
"";"PlannedCharacteristic"
"GMI1";"Person, Organization and Address"
"";"Address"
"";"Organization"
"";"OrganizationOrPersonInOrganizationAssignment"
"";"OrganizationRelationship"
"";"Person"
"";"PersonInOrganization"
"";"PersonInOrganizationRelationship"
"";"SuppliedObjectRelationship"
"GMI2";"Approval, Contract and Project"
"";"Approval"
"";"ApprovalAssignment"
"";"ApprovalRelationship"
"";"Certification"
"";"CertificationAssignment"
"";"Contract"
"";"ContractAssignment"
"";"OrganizationInContract"
"";"Project"
"";"ProjectAssignment"
"";"ProjectRelationship"
"GMI3";"Information Right"
"";"Copyright"
"";"InformationRight"
"";"InformationUsageRight"
"";"InformationUsageRightAssignment"
"";"InformationUsageRightRelationship"
"GMI4";"Multi Linguism"
"";"LocalizedString"
"GMI5";"Classification"
"";"Class"
"";"ClassAttribute"
"";"Classification"
"";"ClassificationRelationship"
"";"ExchangeContextClassLibrary"
"";"ExternalClass"
"";"ExternalClassSystem"
"";"ExternalItem"
"";"ExternalOwlClass"
"";"ExternalOwlObject"
"";"Proxy"
"";"ProxyRelationship"
"";"SecurityClassification"
"";"SecurityClassificationAssignment"
"";"SetMembership"
"";"SubsetMember"
"GMI6";"Identification"
"";"ExchangeContext"
"";"Identifier"
"";"IdentifierRelationship"
"GMI7";"Name and Description"
"";"Descriptor"
"";"DescriptorRelationship"
"GMI8";"Date and Time"
"";"DateAndPersonAssignment"
"";"DateAndPersonOrganization"
"";"DateTimeAssignment"
"";"Duration"
"";"Event"
"";"EventAssignment"
"";"EventRelationship"
"";"RetentionPeriod"
"";"TimeInterval"
"";"TimeIntervalAssignment"
"AMW1";"Activity"
"";"Activity"
"";"ActivityAssignment"
"";"ActivityMethod"
"";"ActivityMethodAssignment"
"";"ActivityMethodRelationship"
"";"ActivityMethodWorkRequestAssociation"
"";"ActivityRelationship"
"";"ElementDelivery"
"AMW2";"Work Management"
"";"WorkOrder"
"";"WorkRequest"
"";"WorkRequestRelationship"
"AMW3";"Delta Change"
"";"AddElement"
"";"ChangeElementSequence"
"";"DeleteElement"
"";"DeltaChange"
"";"DeltaChangeActivity"
"";"FrozenAssignment"
"";"ModifyElement"
"";"ModifySingleElement"
"DM1";"Document Identification"
"";"Document"
"";"DocumentAssignment"
"";"DocumentRelationship"
"";"DocumentVersion"
"";"DocumentVersionRelationship"
"DM2";"Document Structure and Property"
"";"ContentProperty"
"";"CreationProperty"
"";"DigitalDocumentDefinition"
"";"DigitalFile"
"";"DocumentDefinition"
"";"DocumentDefinitionRelationship"
"";"File"
"";"FormatProperty"
"";"Hardcopy"
"";"NamedSize"
"";"PhysicalDocumentDefinition"
"";"RectangularSize"
"";"SizeProperty"
"DM3";"External References"
"";"ExternalGeometricModel"
"";"ExternalRepresentation"
"";"ExternalRepresentationItem"
"CSS";"Composite Structural Shape and Structure"
"";"BeveledSheetRepresentation"
"";"BoundaryCurveRepresentation"
"";"CompositeAssembly"
"";"CompositeAssemblySequenceDefinition"
"";"CompositeAssemblyTable"
"";"CompositeSheetRepresentation"
"";"ConstituentPart"
"";"ConstituentShapeRepresentation"
"";"DirectionOfFiberOrientationWithinAPly"
"";"DrapedOrientationAngle"
"";"EdgeZoneShape"
"";"ExternalAdvancedBrepShapeRepresentation"
"";"ExternalCompositeCurveOnSurface"
"";"ExternalCsgShapeRepresentation"
"";"ExternalCurve"
"";"ExternalCurveSweptSolidShapeRepresentation"
"";"ExternalDegeneratePcurve"
"";"ExternalEdgeBasedWireframeShapeRepresentation"
"";"ExternalElementaryBrepShapeRepresentation"
"";"ExternalFacetedBrepShapeRepresentation"
"";"ExternalGeometricallyBoundedSurfaceShapeRepresentation"
"";"ExternalGeometricallyBoundedWireframeShapeRepresentation"
"";"ExternalLoop"
"";"ExternalManifoldSurfaceShapeRepresentation"
"";"ExternalOrientedSurface"
"";"ExternalPcurve"
"";"ExternalPointOnCurve"
"";"ExternalPointOnSurface"
"";"ExternalPointPath"
"";"ExternalShellBasedWireframeShapeRepresentation"
"";"ExternalSurface"
"";"ExternalSurfaceCurve"
"";"ExternalTessellatedShapeRepresentation"
"";"FaceBasedSheetRepresentation"
"";"FilamentLaminate"
"";"GeometricSheetRepresentation"
"";"LaidOrientationAngle"
"";"LaminateTable"
"";"PercentageLaminateTable"
"";"PercentagePly"
"";"Ply"
"";"PlyLaminate"
"";"PlyLaminateSequenceDefinition"
"";"PlyLaminateTable"
"";"PlyOrientationAngle"
"";"PlyPiece"
"";"PlyShape"
"";"PointZoneShape"
"";"ProcessedCore"
"";"ReinforcementOrientationBasis"
"";"SmearedMaterial"
"";"StockMaterial"
"";"SurfaceWithDirection"
"";"ThicknessLaminateTable"
"";"ThicknessSizeDimension"
"";"ThreeDGeometrySet"
"";"ZoneStructuralMakeup"
"";"ZoneStructuralMakeupShapeRepresentation"
"GS";"Geometric Shape"
"";"GeometricModel"
"";"GeometricModelRelationship"
"PGC";"3D Parametrics and Geometric Constraints Design"
"";"CoatingLayer"
"";"SurfaceCondition"
"MF";"Machining Feature"
"SDQ1";"Shape Data Quality Criteria"
"SDQ2";"Shape Data Quality Inspection"
"PD";"Presentation and Draughting"
"";"StyledModel"
"GDT";"Geometric Dimensions and Tolerances"
