BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues against ARM;
;ViewOccurrenceRelationship to LocalizedString (as description);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/description_AS_LocalizedString(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to TranslatedStringSet (as description);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/description_AS_TranslatedStringSet(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/id_AS_Identifier(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/id_AS_IdentifierSet(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to IdentifierString (as id);NO MAPPING;;;;Product_occurrence_definition_relationship.id;.id attribute is missing in the modules;
;ViewOccurrenceRelationship to Occurrence (as related);Product_occurrence_definition_relationship.related_view;442;;"Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.related_view ->
product_view_definition_or_reference
product_view_definition_or_reference = Product_view_definition
Product_view_definition =>
Product_occurrence =>
Part_occurrence";;;
;ViewOccurrenceRelationship to PartView (as relating);Product_occurrence_definition_relationship.relating_view;442;;"Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relating_view ->
product_view_definition_or_reference}
product_view_definition_or_reference = Product_view_definition
Product_view_definition =>
Part_view_definition";;;
;ViewOccurrenceRelationship to Class (as relationType);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/TYPEINFO_AS_Class(Product_occurrence_definition_relationship, 'relation type')/";;;
;ViewOccurrenceRelationship to ClassString (as relationType);NO MAPPING;;;;Product_occurrence_definition_relationship.relation_type;.relation_type attribute is missing in the modules;
;ViewOccurrenceRelationship to ExternalClass (as relationType);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/TYPEINFO_AS_ExternalClass(Product_occurrence_definition_relationship, 'relation type')/";;;
;ViewOccurrenceRelationship to ExternalOwlClass (as relationType);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/TYPEINFO_AS_ExternalOwlClass(Product_occurrence_definition_relationship, 'relation type')/";;;
QuantifiedOccurrence;;[Quantified_instance][Part_occurrence];;;"{[Quantified_instance <=
Product_occurrence_with_quantity <=]
[Part_occurrence <=]
Product_occurrence <=
Product_view_definition}";;;
;QuantifiedOccurrence to NumericalValue (as quantity);Quantified_instance.occurrence_quantity;442;;"Quantified_instance
Quantified_instance.occurrence_quantity ->
/MAPPING_OF(NumericalValue)/";;;
ReplacedUsageRelationship;;Replaced_usage_relationship;442;;;;;
;ReplacedUsageRelationship to ClassString (as relationType);NO MAPPING;;;;Replaced_usage_relationship.relation_type;.relation_type attribute is missing in the modules;"{Replaced_usage_relationship <=
Part_occurrence_relationship
Part_occurrence_relationship.relation_type = 'usage relacement'}"
;ReplacedUsageRelationship to ViewOccurrenceRelationship (as usageContext);NO MAPPING;;;;not mapped yet;;
;ReplacedUsageRelationship to ProcessOperationInputOrOutput (as usageContext);NO MAPPING;;;;not mapped yet;;
;ReplacedUsageRelationship to RealizationOrOccurrenceRelationship (as usageContext);NO MAPPING;;;;not mapped yet;;
SelectedOccurrence;;[Selected_instance][Part_occurrence];442;;"{[Selected_instance <=
Product_occurrence_with_quantity <=]
[Part_occurrence <=]
Product_occurrence <=
Product_view_definition}";;;
;SelectedOccurrence to CharacterString (as criterion);Selected_instance.quantity_criterion;442;;;;;
;SelectedOccurrence to LocalizedString (as criterion);PATH;;;"/MAPPING_OF(SelectedOccurrence)/
/description_AS_LocalizedString(Selected_instance)/";;;
;SelectedOccurrence to TranslatedStringSet (as criterion);PATH;;;"/MAPPING_OF(SelectedOccurrence)/
/description_AS_TranslatedStringSet(Selected_instance)/";;;
;SelectedOccurrence to ValueWithUnit (as quantity);Product_occurrence_with_quantity.occurrence_quantity;442;;"Product_occurrence_with_quantity
Product_occurrence_with_quantity.occurrence_quantity ->
extented_value_with_unit
extented_value_with_unit = /MAPPING_OF(ValueWithUnit)/
/MAPPING_OF(ValueWithUnit)/";;;
SingleOccurrence;;[Single_instance][Part_occurrence];442;;"{[Single_instance <=]
[Part_occurrence <=]
Product_occurrence <=
Product_view_definition}";;;
SpecifiedOccurrence;;NO MAPPING;;;;not mapped yet;;
;SpecifiedOccurrence to AssemblyDefinition (as assemblyContext);NO MAPPING;;;;not mapped yet;;
;SpecifiedOccurrence to Occurrence (as subAssemblyRelationship);NO MAPPING;;;;not mapped yet;;
;SpecifiedOccurrence to Occurrence (as upperAssemblyRelationship);NO MAPPING;;;;not mapped yet;;
